  N ,   Z ,  El , Mass_Excess  ,     Atomic Mass
  0 ,   1 ,  H  ,    7288.97106,   1.00782500001
  1 ,   1 ,  H  ,   13135.72290,   2.01410100002
  2 ,   1 ,  H  ,   14949.81090,   3.01604900008
  1 ,   2 ,  He ,   14931.21888,   3.01602900006
  3 ,   1 ,  H  ,   24620      ,   4.026430
  2 ,   2 ,  He ,    2424.91587,   4.00260300016
  1 ,   3 ,  Li ,   25320      ,   4.027190
  4 ,   1 ,  H  ,   32890      ,   5.035310
  3 ,   2 ,  He ,   11231      ,   5.012057
  2 ,   3 ,  Li ,   11680      ,   5.012540
  5 ,   1 ,  H  ,   41880      ,   6.044960
  4 ,   2 ,  He ,   17592.10   ,   6.01888506
  3 ,   3 ,  Li ,   14086.8804 ,   6.0151220015
  2 ,   4 ,  Be ,   18375      ,   6.019726
  5 ,   2 ,  He ,   26073      ,   7.027991
  4 ,   3 ,  Li ,   14907.105  ,   7.016003004
  3 ,   4 ,  Be ,   15769.00   ,   7.01692808
  2 ,   5 ,  B  ,   27677      ,   7.029712
  6 ,   2 ,  He ,   31609.68   ,   8.03393410
  5 ,   3 ,  Li ,   20945.80   ,   8.02248605
  4 ,   4 ,  Be ,    4941.67   ,   8.00530504
  3 ,   5 ,  B  ,   22921.6    ,   8.0246071
  2 ,   6 ,  C  ,   35064      ,   8.037643
  7 ,   2 ,  He ,   40940      ,   9.043950
  6 ,   3 ,  Li ,   24954.91   ,   9.02679020
  5 ,   4 ,  Be ,   11348.45   ,   9.01218308
  4 ,   5 ,  B  ,   12416.5    ,   9.0133290
  3 ,   6 ,  C  ,   28911.0    ,   9.0310373
  8 ,   2 ,  He ,   49200      ,  10.052820
  7 ,   3 ,  Li ,   33053      ,  10.035483
  6 ,   4 ,  Be ,   12607.49   ,  10.01353409
  5 ,   5 ,  B  ,   12050.611  ,  10.012936016
  4 ,   6 ,  C  ,   15698.67   ,  10.01685308
  3 ,   7 ,  N  ,   38800      ,  10.041650
  8 ,   3 ,  Li ,   40728.3    ,  11.0437237
  7 ,   4 ,  Be ,   20177.17   ,  11.02166126
  6 ,   5 ,  B  ,    8667.708  ,  11.009305013
  5 ,   6 ,  C  ,   10649.40   ,  11.01143206
  4 ,   7 ,  N  ,   24366      ,  11.026158
  3 ,   8 ,  O  ,   47740      ,  11.051250
  9 ,   3 ,  Li ,   49010      ,  12.052610
  8 ,   4 ,  Be ,   25077.8    ,  12.0269220
  7 ,   5 ,  B  ,   13369.4    ,  12.0143524
  6 ,   6 ,  C  ,       0.0    ,  12.0000000
  5 ,   7 ,  N  ,   17338.1    ,  12.0186131
  4 ,   8 ,  O  ,   32013      ,  12.034368
 10 ,   3 ,  Li ,   56980      ,  13.061170
  9 ,   4 ,  Be ,   33659      ,  13.036135
  8 ,   5 ,  B  ,   16561.9    ,  13.0177801
  7 ,   6 ,  C  ,    3125.00933,  13.00335400025
  6 ,   7 ,  N  ,    5345.48   ,  13.00573829
  5 ,   8 ,  O  ,   23115      ,  13.024815
 10 ,   4 ,  Be ,   39950      ,  14.042890
  9 ,   5 ,  B  ,   23664      ,  14.025404
  8 ,   6 ,  C  ,    3019.893  ,  14.003241004
  7 ,   7 ,  N  ,    2863.41683,  14.00307400024
  6 ,   8 ,  O  ,    8007.781  ,  14.008596027
  5 ,   9 ,  F  ,   31960      ,  14.034320
 11 ,   4 ,  Be ,   49830      ,  15.053490
 10 ,   5 ,  B  ,   28957      ,  15.031087
  9 ,   6 ,  C  ,    9873.1    ,  15.0105999
  8 ,   7 ,  N  ,     101.4381 ,  15.0001080006
  7 ,   8 ,  O  ,    2855.6    ,  15.0030655
  6 ,   9 ,  F  ,   16567      ,  15.017785
  5 ,  10 ,  Ne ,   40220      ,  15.043170
 12 ,   4 ,  Be ,   57450      ,  16.061670
 11 ,   5 ,  B  ,   37112      ,  16.039841
 10 ,   6 ,  C  ,   13694      ,  16.014701
  9 ,   7 ,  N  ,    5683.9    ,  16.0061015
  8 ,   8 ,  O  ,   -4737.00217,  15.9949140003
  7 ,   9 ,  F  ,   10675      ,  16.011460
  6 ,  10 ,  Ne ,   23987      ,  16.025751
 12 ,   5 ,  B  ,   43720      ,  17.046930
 11 ,   6 ,  C  ,   21032      ,  17.022579
 10 ,   7 ,  N  ,    7870      ,  17.008449
  9 ,   8 ,  O  ,    -808.7642 ,  16.9991310007
  8 ,   9 ,  F  ,    1951.70   ,  17.00209527
  7 ,  10 ,  Ne ,   16500.5    ,  17.0177144
  6 ,  11 ,  Na ,   34720      ,  17.037270
 13 ,   5 ,  B  ,   51790      ,  18.055600
 12 ,   6 ,  C  ,   24920      ,  18.026750
 11 ,   7 ,  N  ,   13113      ,  18.014078
 10 ,   8 ,  O  ,    -782.8163 ,  17.9991590007
  9 ,   9 ,  F  ,     873.1    ,  18.0009375
  8 ,  10 ,  Ne ,    5317.6    ,  18.0057084
  7 ,  11 ,  Na ,   25040      ,  18.026880
 14 ,   5 ,  B  ,   59770      ,  19.064170
 13 ,   6 ,  C  ,   32410      ,  19.034800
 12 ,   7 ,  N  ,   15856      ,  19.017022
 11 ,   8 ,  O  ,    3332.9    ,  19.0035788
 10 ,   9 ,  F  ,   -1487.4451 ,  18.9984030009
  9 ,  10 ,  Ne ,    1752.05   ,  19.00188017
  8 ,  11 ,  Na ,   12929      ,  19.013880
  7 ,  12 ,  Mg ,   31840      ,  19.034180
 15 ,   5 ,  B  ,   69400      ,  20.074510
 14 ,   6 ,  C  ,   37500      ,  20.040260
 13 ,   7 ,  N  ,   21770      ,  20.023370
 12 ,   8 ,  O  ,    3796.2    ,  20.0040759
 11 ,   9 ,  F  ,     -17.463  ,  19.99998103
 10 ,  10 ,  Ne ,   -7041.9322 ,  19.9924400016
  9 ,  11 ,  Na ,    6850.5    ,  20.0073542
  8 ,  12 ,  Mg ,   17477.7    ,  20.0187630
 16 ,   5 ,  B  ,   78380      ,  21.084150
 14 ,   7 ,  N  ,   25230      ,  21.027090
 13 ,   8 ,  O  ,    8062      ,  21.008655
 12 ,   9 ,  F  ,     -47.6    ,  20.9999489
 11 ,  10 ,  Ne ,   -5731.78   ,  20.99384604
 10 ,  11 ,  Na ,   -2184.86   ,  20.99765405
  9 ,  12 ,  Mg ,   10903.9    ,  21.0117058
 16 ,   6 ,  C  ,   53610      ,  22.057550
 15 ,   7 ,  N  ,   31760      ,  22.034100
 14 ,   8 ,  O  ,    9280      ,  22.009970
 13 ,   9 ,  F  ,    2793      ,  22.002999
 12 ,  10 ,  Ne ,   -8024.716  ,  21.991385019
 11 ,  11 ,  Na ,   -5181.39   ,  21.99443714
 10 ,  12 ,  Mg ,    -399.99   ,  21.99957017
 16 ,   7 ,  N  ,   36720      ,  23.039420
 15 ,   8 ,  O  ,   14620      ,  23.015700
 14 ,   9 ,  F  ,    3290      ,  23.003530
 13 ,  10 ,  Ne ,   -5154.05   ,  22.99446611
 12 ,  11 ,  Na ,   -9529.8535 ,  22.9897690019
 11 ,  12 ,  Mg ,   -5473.67   ,  22.99412303
 10 ,  13 ,  Al ,    6748.1    ,  23.0072444
 16 ,   8 ,  O  ,   18500      ,  24.019860
 15 ,   9 ,  F  ,    7540      ,  24.008100
 14 ,  10 ,  Ne ,   -5951.6    ,  23.9936106
 13 ,  11 ,  Na ,   -8417.901  ,  23.990963018
 12 ,  12 ,  Mg ,  -13933.578  ,  23.985041014
 11 ,  13 ,  Al ,     -48.81   ,  23.99994724
 10 ,  14 ,  Si ,   10745      ,  24.011535
 17 ,   8 ,  O  ,   27330      ,  25.029340
 16 ,   9 ,  F  ,   11330      ,  25.012170
 15 ,  10 ,  Ne ,   -2036      ,  24.997810
 14 ,  11 ,  Na ,   -9357.8    ,  24.9899543
 13 ,  12 ,  Mg ,  -13192.78   ,  24.98583605
 12 ,  13 ,  Al ,   -8915.97   ,  24.99042807
 11 ,  14 ,  Si ,    3827      ,  25.004109
 18 ,   8 ,  O  ,   34660      ,  26.037210
 17 ,   9 ,  F  ,   18670      ,  26.020050
 16 ,  10 ,  Ne ,     481      ,  26.000516
 15 ,  11 ,  Na ,   -6861      ,  25.992635
 14 ,  12 ,  Mg ,  -16214.544  ,  25.98259203
 13 ,  13 ,  Al ,  -12210.14   ,  25.98689107
 12 ,  14 ,  Si ,   -7141.00   ,  25.99233312
 18 ,   9 ,  F  ,   25130      ,  27.026980
 17 ,  10 ,  Ne ,    7050      ,  27.007570
 16 ,  11 ,  Na ,   -5518      ,  26.994076
 15 ,  12 ,  Mg ,  -14586.59   ,  26.98434005
 14 ,  13 ,  Al ,  -17196.86   ,  26.98153805
 13 ,  14 ,  Si ,  -12384.51   ,  26.98670412
 12 ,  15 ,  P  ,    -659      ,  26.999292
 19 ,   9 ,  F  ,   33400      ,  28.035860
 18 ,  10 ,  Ne ,   11300      ,  28.012130
 17 ,  11 ,  Na ,    -988      ,  27.998939
 16 ,  12 ,  Mg ,  -15019.95   ,  27.98387528
 15 ,  13 ,  Al ,  -16850.72   ,  27.98191005
 14 ,  14 ,  Si ,  -21492.7971 ,  27.9769260006
 13 ,  15 ,  P  ,   -7147.9    ,  27.9923262
 12 ,  16 ,  S  ,    4070      ,  28.004370
 20 ,   9 ,  F  ,   40150      ,  29.043100
 19 ,  10 ,  Ne ,   18400      ,  29.019750
 18 ,  11 ,  Na ,    2680      ,  29.002877
 17 ,  12 ,  Mg ,  -10612.4    ,  28.9886074
 16 ,  13 ,  Al ,  -18207.8    ,  28.9804534
 15 ,  14 ,  Si ,  -21895.0815 ,  28.9764940006
 14 ,  15 ,  P  ,  -16952.8    ,  28.9818004
 13 ,  16 ,  S  ,   -3094      ,  28.996678
 20 ,  10 ,  Ne ,   23280      ,  30.024990
 19 ,  11 ,  Na ,    8475      ,  30.009098
 18 ,  12 ,  Mg ,   -8881.4    ,  29.9904654
 17 ,  13 ,  Al ,  -15864.1    ,  29.9829691
 16 ,  14 ,  Si ,  -24432.962  ,  29.973770023
 15 ,  15 ,  P  ,  -20200.86   ,  29.97831307
 14 ,  16 ,  S  ,  -14059.25   ,  29.98490622
 13 ,  17 ,  Cl ,    4675      ,  30.005018
 21 ,  10 ,  Ne ,   31180      ,  31.033470
 20 ,  11 ,  Na ,   12246      ,  31.013147
 19 ,  12 ,  Mg ,   -3122      ,  30.996648
 18 ,  13 ,  Al ,  -14950.7    ,  30.9839494
 17 ,  14 ,  Si ,  -22949.04   ,  30.97536305
 16 ,  15 ,  P  ,  -24440.5444 ,  30.9737610008
 15 ,  16 ,  S  ,  -19042.53   ,  30.97955725
 14 ,  17 ,  Cl ,   -7035      ,  30.992448
 21 ,  11 ,  Na ,   18640      ,  32.020010
 20 ,  12 ,  Mg ,    -829      ,  31.999110
 19 ,  13 ,  Al ,  -11099      ,  31.988084
 18 ,  14 ,  Si ,  -24077.69   ,  31.9741513
 17 ,  15 ,  P  ,  -24304.88   ,  31.97390704
